srclang,trglang,srcIndex,documentId,segmentId,judgeId,system1Number,system1Id,system2Number,system2Id,system1rank,system2rank
NCM,NCM,67,-1,67,A35CL66BEUSJ5Z,-1,5,-1,36,1,1
NCM,NCM,68,-1,68,ADJMZSRMFT3RG,-1,5,-1,36,1,2
NCM,NCM,68,-1,68,A35CL66BEUSJ5Z,-1,5,-1,36,1,1
NCM,NCM,68,-1,68,A35CL66BEUSJ5Z,-1,5,-1,36,2,1
NCM,NCM,69,-1,69,A1MADOOBMC9QWI,-1,5,-1,36,2,1
NCM,NCM,69,-1,69,A1OSNZPSG3HP9I,-1,5,-1,36,2,1
NCM,NCM,69,-1,69,A1OSNZPSG3HP9I,-1,5,-1,36,2,1
NCM,NCM,70,-1,70,A24P3PZ3IY336C,-1,5,-1,36,2,1
NCM,NCM,70,-1,70,A3F1EX5JHQN5D4,-1,5,-1,36,2,1
NCM,NCM,70,-1,70,A3F1EX5JHQN5D4,-1,5,-1,36,2,1
NCM,NCM,71,-1,71,APKO12PP5J5LW,-1,5,-1,36,2,1
NCM,NCM,71,-1,71,A24P3PZ3IY336C,-1,5,-1,36,2,1
NCM,NCM,71,-1,71,A1DXYZ9EW2R6DT,-1,5,-1,36,1,1
NCM,NCM,72,-1,72,A39XF45WLMIGX2,-1,5,-1,36,2,1
NCM,NCM,72,-1,72,A24P3PZ3IY336C,-1,5,-1,36,1,2
NCM,NCM,72,-1,72,AJ1VZT72SEBR1,-1,5,-1,36,2,1
NCM,NCM,73,-1,73,ADJMZSRMFT3RG,-1,5,-1,36,2,1
NCM,NCM,73,-1,73,ADJMZSRMFT3RG,-1,5,-1,36,1,2
NCM,NCM,73,-1,73,A1OSNZPSG3HP9I,-1,5,-1,36,2,1
NCM,NCM,74,-1,74,ADJMZSRMFT3RG,-1,5,-1,36,2,1
NCM,NCM,74,-1,74,A24P3PZ3IY336C,-1,5,-1,36,2,1
NCM,NCM,74,-1,74,A1OSNZPSG3HP9I,-1,5,-1,36,1,1
NCM,NCM,75,-1,75,AJ1VZT72SEBR1,-1,5,-1,36,2,1
NCM,NCM,75,-1,75,APKO12PP5J5LW,-1,5,-1,36,1,2
NCM,NCM,75,-1,75,ADJMZSRMFT3RG,-1,5,-1,36,2,1
NCM,NCM,76,-1,76,A1MADOOBMC9QWI,-1,5,-1,36,1,2
NCM,NCM,76,-1,76,A1DXYZ9EW2R6DT,-1,5,-1,36,1,2
NCM,NCM,76,-1,76,A20NUGCPGHLZGD,-1,5,-1,36,1,2
NCM,NCM,77,-1,77,A35CL66BEUSJ5Z,-1,5,-1,36,2,1
NCM,NCM,77,-1,77,A24P3PZ3IY336C,-1,5,-1,36,1,2
NCM,NCM,77,-1,77,A1WAWEY2810TFN,-1,5,-1,36,1,1
NCM,NCM,78,-1,78,A24P3PZ3IY336C,-1,5,-1,36,2,1
NCM,NCM,78,-1,78,A1DXYZ9EW2R6DT,-1,5,-1,36,1,1
NCM,NCM,78,-1,78,ADJMZSRMFT3RG,-1,5,-1,36,1,2
NCM,NCM,79,-1,79,A24P3PZ3IY336C,-1,5,-1,36,1,2
NCM,NCM,79,-1,79,AMMUQ5FYIZ1GQ,-1,5,-1,36,2,1
NCM,NCM,79,-1,79,ADJMZSRMFT3RG,-1,5,-1,36,1,2
NCM,NCM,80,-1,80,A39XF45WLMIGX2,-1,5,-1,36,2,1
NCM,NCM,80,-1,80,ADJMZSRMFT3RG,-1,5,-1,36,2,1
